Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
0.0371604,,,,1,0.0,0.0,0,0,0.0108,2/28/2019
0.043897464,,,,0,1.0,0.0,0,0,0.1588,3/31/2019
0.1250780769230769,,,,1,0.0,0.0,0,0,0.1399,3/31/2019
0.6534915151515152,,,,1,0.0,0.0,0,0,0.3395,3/31/2019
0.633364,,,,0,0.0,1.0,0,0,0.7098,3/31/2019
0.048142353,,,,0,0.0,0.0,0,1,0.0885,3/31/2019
0.0,,,,0,0.0,0.0,1,0,0.0327,3/31/2019
0.289692,,,,0,0.0,0.0,1,0,0.2252,3/31/2019
0.0,,,,0,0.0,1.0,0,0,0.0387,3/31/2019
0.0,,,,0,0.0,0.0,0,1,0.0757,3/31/2019
0.8516528301886793,,,,0,0.0,1.0,0,0,0.5066,3/31/2019
0.289606,,,,0,0.0,0.0,1,0,0.1043,3/31/2019
0.0,,,,0,0.0,0.0,1,0,0.0242,3/31/2019
-0.134235294,,,,0,1.0,0.0,0,0,0.0136,3/31/2019
0.0,,,,0,0.0,1.0,0,0,0.0618,3/31/2019
0.03935,,,,0,0.0,1.0,0,0,0.0567,3/31/2019
1.362724,,,,0,1.0,0.0,0,0,0.7385,3/31/2019
0.0,,,,0,1.0,0.0,0,0,0.0298,3/31/2019
0.1159948453608247,,,,1,0.0,0.0,0,0,0.3545,3/31/2019
0.1026869999999999,,,,0,0.0,0.0,1,0,0.1429,3/31/2019
1.0234235,,,,1,0.0,0.0,0,0,0.9071,3/31/2019
0.5101145,,,,0,0.0,1.0,0,0,0.6959,3/31/2019
0.3527152777777778,,,,0,0.0,0.0,0,1,0.1736,3/31/2019
0.668536,,,,0,1.0,0.0,0,0,0.2977,3/31/2019
0.0,,,,0,1.0,0.0,0,0,0.0396,3/31/2019
0.0452528571428571,,,,0,0.0,1.0,0,0,0.1084,3/31/2019
0.6503915584415585,,,,0,1.0,0.0,0,0,0.5896,3/31/2019
0.6500493333333334,,,,0,0.0,1.0,0,0,0.2153,3/31/2019
-0.228516667,,,,0,0.0,0.0,1,0,0.0057,3/31/2019
0.0,,,,1,0.0,0.0,0,0,0.0413,3/31/2019
0.0412435483870967,,,,0,0.0,0.0,1,0,0.0441,3/31/2019
0.2043056,,,,1,0.0,0.0,0,0,0.4349,3/31/2019
0.0,,,,0,0.0,1.0,0,0,0.0468,3/31/2019
0.0621259259259259,,,,0,0.0,0.0,0,1,0.0826,3/31/2019
